NAME,AgPer,ForPer,UrbPer
Phillips,77.19819666852482,1.7619847045157315,1.1437779901173526
Calhoun,3.1912216777154203,33.40803204347,1.88347354549027
Union,2.279222163875322,37.70239728752155,2.4568984709623995
Columbia,5.414597277482999,54.47047575895561,2.14541994793876
Ouachita,3.301397725468986,36.4354356256012,2.294918636303196
Clark,16.144822425743374,46.02964760066153,1.8694713944259633
Nevada,16.765909174951307,43.064605904024795,1.6481837719818129
Hempstead,36.233493557576836,33.1875926528241,1.987411563381618
Miller,48.27035033751175,18.873966286702657,2.597270692771295
Little River,40.5384122514181,22.26409258676073,1.5052562387598314
Newton,16.04458107560258,79.10933677399102,2.063282908412845
Pope,35.19835569329904,54.04375666427692,2.8959512490285224
Yell,32.057028239746415,51.74262283637282,1.668021030973335
Baxter,27.472355021298345,62.633729715072725,4.049611180439539
Boone,56.91260686245694,35.27786504361462,2.659883279579425
Independence,56.60794777932032,33.91065901406577,2.148297231152261
Mississippi,88.97470126448988,0.012115004990098759,1.8719034263536147
Washington,52.066318284404765,40.40262869493365,4.947438043174574
Benton,55.715654951800296,33.74512553068645,6.940270117130212
Madison,40.39368581343316,54.1387026541797,1.9542255377790803
Crawford,42.33337580973486,48.75789650071019,3.390790005015033
Sebastian,40.744214193861445,36.74323369112052,6.006657786556879
Hot Spring,21.71264937072429,54.881011282057344,3.0567825991112496
Garland,13.67139013172569,68.70718980678976,6.15414083132349
Craighead,84.3531697669004,3.4866663943680294,3.0325898320349274
Poinsett,83.59719730816838,2.020854135646448,1.395083806399963
Greene,78.66573504469146,11.444458452780527,2.1402033318329647
Lincoln,55.9528005543073,13.805283952094447,1.1899226787587696
Jefferson,60.14213047810627,12.296414361939682,2.800993755351379
Lonoke,72.98934381592278,4.911781323657518,2.1177133707607543
Cleveland,5.021800683950404,34.982872651410894,1.481247471533488
Pulaski,35.39043761540214,31.066736150188135,10.932459384174303
Grant,7.12082950864366,35.34593437942666,2.1300901767274385
Saline,13.924548908252103,56.47108001562242,5.766966016534323
Perry,23.418223660186705,57.759236855380344,2.058870252008467
Faulkner,57.75850294611511,28.025708250022944,4.264170196986735
White,58.96607079923529,18.63950024586907,2.411187693345914
St. Francis,76.16263649135853,4.456653782053328,1.4303021357301655
Crittenden,82.99578591681207,0.05983443896334172,2.0440890449910416
Desha,60.77839070002396,0.0818243462351627,0.875272600192344
Arkansas,58.000818174237665,2.058752162155747,1.1088703310030017
Monroe,55.45129692188813,0.7115957178242485,0.9294254060533368
Drew,24.099555193236498,26.394740252609168,1.5103698066205282
Ashley,30.4035917593661,23.36597320160203,1.8244521341697244
Prairie,67.08205014174804,4.590695247678775,1.1662173993923164
Dallas,2.963603912554833,50.26012640058597,1.991195230916734
Bradley,4.405582046938225,31.998405395998663,1.7213293207236062
Lafayette,35.58606626164993,35.78390634488937,1.501491763523096
Pike,18.601205959719476,54.84487388264417,2.469436342279897
Montgomery,18.251253438667888,74.65794553750146,2.066553042255394
Howard,32.862862815776154,39.93662579239749,2.6108636213031273
Sevier,29.373362048778617,34.20777312319063,2.08523564132483
Polk,22.723946724486748,62.775751813300204,2.2862428570940496
Logan,44.869867512029074,44.777657865603885,1.9968632419034165
Franklin,51.93043161112957,40.87745425139326,1.968261121564468
Johnson,33.99089993008659,56.159847964049995,2.4371590034421406
Conway,50.825248936184906,32.23489115232586,2.378788882421943
Van Buren,26.713912260209383,64.75692331499985,2.457791980182531
Searcy,36.02589072012593,57.72371056813815,1.8632888297877384
Marion,33.32964438125509,57.74501043811115,2.3945445850650797
Fulton,50.88478532064978,41.01001523898337,1.9851735265647301
Izard,40.26322377589164,50.76952769986738,2.271748739724805
Sharp,36.201973178660516,56.54497688371401,2.334925439098689
Randolph,57.10977578276406,31.172132408041474,1.6404000061753738
Lawrence,75.72754919067259,13.479201594929318,1.5842774611256234
Stone,25.083768388520404,66.76102043764253,2.008575233609276
Cleburne,34.57886566222339,52.62093465824783,2.9183079725863967
Woodruff,74.10492980607452,0.4291393430361612,0.9128550301144553
Jackson,81.8216712539012,3.5127901759124844,1.3782177369865456
Cross,83.56651176556585,5.300528741626961,1.2271331048703011
Lee,76.0171272538677,2.2812840533095664,0.8967788085714165
Clay,79.4923917747381,5.696804457897141,1.3482492489392013
Chicot,74.00100048575298,0.47017125318589753,0.9785041405939872
Carroll,54.49726888182336,39.24596599948732,2.430407154828963
Scott,21.45369585285061,71.79900409802357,1.795180152983316
