COUNTY,FIPS,DIRINJ,INDIRINJ,DIRDTH,INDIRDTH,DMGPRP,DMGPRPCPI,TOTAL_INJURIES,TOTAL_DEATHS,County_Low
ARKANSAS,57,0,0,0,0,0.0,0.0,0,0,Arkansas
ASHLEY,74,0,0,0,0,10000.0,18195.75358851675,0,0,Ashley
BAXTER,5,0,0,0,0,0.0,0.0,0,0,Baxter
BENTON,1,0,0,0,0,0.0,0.0,0,0,Benton
BOONE,3,0,0,0,0,0.0,0.0,0,0,Boone
BRADLEY,68,0,0,0,0,0.0,0.0,0,0,Bradley
CALHOUN,67,0,0,0,0,0.0,0.0,0,0,Calhoun
CARROLL,2,0,0,0,0,0.0,0.0,0,0,Carroll
CHICOT,75,0,0,0,0,5000.0,9097.876794258376,0,0,Chicot
CLARK,53,0,0,0,0,0.0,0.0,0,0,Clark
CLAY,9,0,0,0,0,100000.0,181957.53588516748,0,0,Clay
CLEBURNE,24,0,0,0,0,0.0,0.0,0,0,Cleburne
CLEVELAND,63,0,0,0,0,0.0,0.0,0,0,Cleveland
COLUMBIA,72,0,0,0,0,40000000.0,72783014.354067,0,0,Columbia
CONWAY,31,0,0,0,0,0.0,0.0,0,0,Conway
CRAIGHEAD,26,0,0,0,0,100000.0,181957.53588516748,0,0,Craighead
CRAWFORD,19,0,0,0,0,0.0,0.0,0,0,Crawford
CRITTENDEN,36,0,0,0,0,100000.0,181957.53588516748,0,0,Crittenden
CROSS,35,0,0,0,0,1000000.0,1819575.3588516747,0,0,Cross
DALLAS,62,0,0,0,0,0.0,0.0,0,0,Dallas
DESHA,65,0,0,0,0,0.0,0.0,0,0,Desha
DREW,69,0,0,0,0,0.0,0.0,0,0,Drew
FAULKNER,32,0,0,0,0,0.0,0.0,0,0,Faulkner
FRANKLIN,20,0,0,0,0,0.0,0.0,0,0,Franklin
FULTON,6,0,0,0,0,0.0,0.0,0,0,Fulton
GARLAND,42,0,0,0,0,0.0,0.0,0,0,Garland
GRANT,55,0,0,0,0,0.0,0.0,0,0,Grant
GREENE,18,0,0,0,0,100000.0,181957.53588516748,0,0,Greene
HEMPSTEAD,60,0,0,0,0,40000000.0,72783014.354067,0,0,Hempstead
HOT SPRING,54,0,0,0,0,0.0,0.0,0,0,Hot Spring
HOWARD,51,0,0,0,0,40000000.0,72783014.354067,0,0,Howard
INDEPENDENCE,16,0,0,0,0,0.0,0.0,0,0,Independence
IZARD,15,0,0,0,0,0.0,0.0,0,0,Izard
JACKSON,25,0,0,0,0,0.0,0.0,0,0,Jackson
JEFFERSON,56,0,0,0,0,0.0,0.0,0,0,Jefferson
JOHNSON,21,0,0,0,0,0.0,0.0,0,0,Johnson
LAFAYETTE,71,0,0,0,0,40000000.0,72783014.354067,0,0,Lafayette
LAWRENCE,17,0,0,0,0,100000.0,181957.53588516748,0,0,Lawrence
LEE,49,0,0,0,0,100000.0,181957.53588516748,0,0,Lee
LINCOLN,64,0,0,0,0,0.0,0.0,0,0,Lincoln
LITTLE RIVER,59,0,0,0,0,40000000.0,72783014.354067,0,0,Little River
LOGAN,30,0,0,0,0,0.0,0.0,0,0,Logan
LONOKE,45,0,0,0,0,0.0,0.0,0,0,Lonoke
MADISON,11,0,0,0,0,0.0,0.0,0,0,Madison
MARION,4,0,0,0,0,0.0,0.0,0,0,Marion
MILLER,70,0,0,0,0,40000000.0,72783014.354067,0,0,Miller
MISSISSIPPI,28,0,0,0,0,110000.0,200153.28947368424,0,0,Mississippi
MONROE,47,0,0,0,0,0.0,0.0,0,0,Monroe
MONTGOMERY,41,0,0,0,0,0.0,0.0,0,0,Montgomery
NEVADA,61,0,0,0,0,40000000.0,72783014.354067,0,0,Nevada
NEWTON,12,0,0,0,0,0.0,0.0,0,0,Newton
OUACHITA,66,0,0,0,0,0.0,0.0,0,0,Ouachita
PERRY,39,0,0,0,0,0.0,0.0,0,0,Perry
PHILLIPS,58,0,0,0,0,100000.0,181957.53588516748,0,0,Phillips
PIKE,52,0,0,0,0,0.0,0.0,0,0,Pike
POINSETT,27,0,0,0,0,100000.0,181957.53588516748,0,0,Poinsett
POLK,40,0,0,0,0,0.0,0.0,0,0,Polk
POPE,22,0,0,0,0,0.0,0.0,0,0,Pope
PRAIRIE,46,0,0,0,0,0.0,0.0,0,0,Prairie
PULASKI,44,0,0,0,0,0.0,0.0,0,0,Pulaski
RANDOLPH,8,0,0,0,0,100000.0,181957.53588516748,0,0,Randolph
SALINE,43,0,0,0,0,0.0,0.0,0,0,Saline
SCOTT,37,0,0,0,0,0.0,0.0,0,0,Scott
SEARCY,13,0,0,0,0,0.0,0.0,0,0,Searcy
SEBASTIAN,29,0,0,0,0,0.0,0.0,0,0,Sebastian
SEVIER,50,0,0,0,0,205000000.0,373012948.5645933,0,0,Sevier
SHARP,7,0,0,0,0,0.0,0.0,0,0,Sharp
ST. FRANCIS,48,0,0,0,0,100000.0,181957.53588516748,0,0,St. Francis
STONE,14,0,0,0,0,0.0,0.0,0,0,Stone
UNION,73,0,0,0,0,40000000.0,72783014.354067,0,0,Union
VAN BUREN,23,0,0,0,0,0.0,0.0,0,0,Van Buren
WASHINGTON,10,0,0,0,0,0.0,0.0,0,0,Washington
WHITE,33,0,0,0,0,0.0,0.0,0,0,White
WOODRUFF,34,0,0,0,0,0.0,0.0,0,0,Woodruff
YELL,38,0,0,0,0,0.0,0.0,0,0,Yell
