COUNTY,FIPS,DIRINJ,INDIRINJ,DIRDTH,INDIRDTH,DMGPRP,DMGPRPCPI,TOTAL_INJURIES,TOTAL_DEATHS
ARKANSAS,57,0,0,0,0,355000.0,473210.0171989006,0,0
ASHLEY,74,0,0,0,0,2065000.0,3473417.9821823225,0,0
BAXTER,5,2,0,1,0,53935000.0,78511144.93215738,2,1
BENTON,1,0,0,0,0,30280000.0,44353105.23010781,0,0
BOONE,3,0,0,1,0,50340000.0,73641728.38705577,0,1
BRADLEY,68,0,0,0,0,50000.0,68139.73177090334,0,0
CALHOUN,67,0,0,0,0,50000.0,68139.73177090334,0,0
CARROLL,2,0,0,0,0,17580000.0,25859156.778565623,0,0
CHICOT,75,0,0,0,0,2185000.0,3606783.167228999,0,0
CLARK,53,0,0,0,0,1200000.0,1627532.128826266,0,0
CLAY,9,0,0,1,0,3555020.0,6028271.731761678,0,1
CLEBURNE,24,0,2,0,1,27335000.0,40122124.028004065,2,1
CLEVELAND,63,0,0,0,0,250000.0,336214.1908450648,0,0
COLUMBIA,72,0,0,0,0,40050000.0,72878745.31693673,0,0
CONWAY,31,0,0,0,1,12395000.0,17887153.34019685,0,1
CRAIGHEAD,26,0,1,1,0,4031010.0,6694756.019799542,1,1
CRAWFORD,19,0,0,0,0,955000.0,1321066.2552779268,0,0
CRITTENDEN,36,3,0,0,1,105000.0,190386.67253231187,3,1
CROSS,35,0,0,0,0,1033000.0,1869828.277166216,0,0
DALLAS,62,0,0,0,0,235000.0,314620.8427486505,0,0
DESHA,65,0,0,0,0,50000.0,68139.73177090334,0,0
DREW,69,0,0,0,0,55000.0,75337.5144697081,0,0
FAULKNER,32,0,0,0,0,17785000.0,25215657.864204813,0,0
FRANKLIN,20,0,0,0,0,880000.0,1168631.712198347,0,0
FULTON,6,0,0,0,0,51361000.0,75068869.80673318,0,0
GARLAND,42,0,0,0,0,12900000.0,17545397.759774376,0,0
GRANT,55,0,4,0,1,760000.0,1028332.4268761512,4,1
GREENE,18,0,0,0,0,8818020.0,13560438.795119211,0,0
HEMPSTEAD,60,1,0,0,0,40285000.0,73155333.99724266,1,0
HOT SPRING,54,0,0,0,0,5275000.0,7180736.895798311,0,0
HOWARD,51,0,0,0,0,40252000.0,73129481.62144683,0,0
INDEPENDENCE,16,0,0,0,0,51940000.0,75892320.49304728,0,0
IZARD,15,0,1,0,1,51620000.0,75429276.15694907,1,1
JACKSON,25,0,0,0,0,37525000.0,54796597.42614005,0,0
JEFFERSON,56,0,0,0,0,545000.0,732771.3727273046,0,0
JOHNSON,21,0,0,0,0,26525000.0,38639968.346823834,0,0
LAFAYETTE,71,0,0,0,0,40050000.0,72878745.31693673,0,0
LAWRENCE,17,0,0,1,0,1427020.0,2446567.2555868924,0,1
LEE,49,0,0,0,0,105000.0,190386.67253231187,0,0
LINCOLN,64,0,0,0,0,185000.0,247657.6033481176,0,0
LITTLE RIVER,59,0,0,0,0,40105000.0,72942792.16316979,0,0
LOGAN,30,0,0,0,0,13240000.0,19001089.335633412,0,0
LONOKE,45,0,0,1,1,3605000.0,4900531.759282863,0,2
MADISON,11,0,0,0,0,16350000.0,23955908.984922633,0,0
MARION,4,0,1,0,2,60325000.0,87040274.7584183,1,2
MILLER,70,0,0,0,0,40539000.0,73464503.91396263,0,0
MISSISSIPPI,28,0,0,0,3,126010.0,227870.7873698193,0,3
MONROE,47,0,0,0,0,600000.0,798657.2463574301,0,0
MONTGOMERY,41,0,0,0,0,3590000.0,4869851.698528437,0,0
NEVADA,61,0,0,1,0,40060000.0,72898552.15287423,0,1
NEWTON,12,1,0,0,0,1265000.0,1830759.5447208607,1,0
OUACHITA,66,0,0,0,0,60000.0,81358.80479814245,0,0
PERRY,39,0,0,0,0,12380000.0,17866625.589841206,0,0
PHILLIPS,58,0,0,0,0,108000.0,195364.54574602918,0,0
PIKE,52,0,0,0,0,1300000.0,1758902.3995917037,0,0
POINSETT,27,0,1,1,3,868000.0,1481843.7512659952,1,4
POLK,40,0,0,0,0,7590000.0,10813463.039616073,0,0
POPE,22,0,0,1,0,27875000.0,40481208.72582096,0,1
PRAIRIE,46,0,1,0,1,1370000.0,1853672.788862234,1,1
PULASKI,44,0,2,1,5,49150000.0,66947483.97803295,2,6
RANDOLPH,8,0,1,0,0,2030020.0,3278146.9135085233,1,0
SALINE,43,0,0,1,0,10500000.0,14291328.121620128,0,1
SCOTT,37,0,0,0,1,13590000.0,19463636.997073453,0,1
SEARCY,13,0,0,0,0,51220000.0,74933138.8846788,0,0
SEBASTIAN,29,0,0,0,0,650000.0,856447.20002557,0,0
SEVIER,50,0,2,0,2,205100000.0,373174658.7859384,2,2
SHARP,7,0,1,0,0,52415000.0,76506449.99506459,1,0
ST. FRANCIS,48,0,0,0,0,109000.0,197080.46791184982,0,0
STONE,14,0,0,0,0,51875000.0,75866153.32966238,0,0
UNION,73,0,0,0,0,40050000.0,72878745.31693673,0,0
VAN BUREN,23,0,0,0,0,26820000.0,39207685.9843468,0,0
WASHINGTON,10,1,0,0,2,46080000.0,67738122.10147148,1,2
WHITE,33,0,2,0,1,19405000.0,28043383.966654796,2,1
WOODRUFF,34,0,0,0,0,12065000.0,17408327.456493802,0,0
YELL,38,0,0,0,0,13625000.0,19555751.98710476,0,0
