COUNTY,Median gross rent
Arkansas,645.0
Ashley,530.0
Baxter,722.0
Benton,945.0
Boone,638.0
Bradley,565.0
Calhoun,647.0
Carroll,576.0
Chicot,568.0
Clark,600.0
Clay,625.0
Cleburne,709.0
Cleveland,618.0
Columbia,681.0
Conway,614.0
Craighead,780.0
Crawford,700.0
Crittenden,734.0
Cross,727.0
Dallas,689.0
Desha,565.0
Drew,661.0
Faulkner,819.0
Franklin,607.0
Fulton,532.0
Garland,791.0
Grant,700.0
Greene,725.0
Hempstead,681.0
Hot Spring,635.0
Howard,649.0
Independence,653.0
Izard,596.0
Jackson,552.0
Jefferson,741.0
Johnson,619.0
Lafayette,513.0
Lawrence,552.0
Lee,522.0
Lincoln,550.0
Little River,579.0
Logan,589.0
Lonoke,816.0
Madison,607.0
Marion,652.0
Miller,742.0
Mississippi,655.0
Monroe,508.0
Montgomery,551.0
Nevada,716.0
Newton,552.0
Ouachita,562.0
Perry,625.0
Phillips,573.0
Pike,622.0
Poinsett,605.0
Polk,657.0
Pope,698.0
Prairie,646.0
Pulaski,875.0
Randolph,637.0
St. Francis,688.0
Saline,835.0
Scott,619.0
Searcy,536.0
Sebastian,715.0
Sevier,601.0
Sharp,552.0
Stone,636.0
Union,707.0
Van Buren,600.0
Washington,819.0
White,692.0
Woodruff,522.0
Yell,591.0
